Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,value12_13,value13_14,description,source_name,source_url
Treasury & Related Departments,Department of the Treasury,,,,"271,417","178,439",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to International Financial Institutions,,,,"18,598","3,678",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Support for Markets and Business,,,,"22,895","24,737",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,General Revenue Assistance,,,"48,935,036","51,233,846",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,Assistance to the States for Healthcare Services,,,"13,280,449","14,040,015",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,Assistance to the States for Government Schools,,,"3,944,991","2,112,164",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,Assistance to the States for Skills and Workforce Development,,,"1,387,532","1,408,969",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,Assistance to the States for Disabilities Services,,,"1,244,118","1,237,636",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,Assistance to the States for Affordable Housing,,,"1,263,727","1,282,683",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Payments to States,National Partnership Payments to the States,,,"10,966,356","11,079,773",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Competition and Consumer Commission,,,,"166,772","122,417",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Office of Financial Management,Servicing Australia's Debt,,,"12,209,424","12,456,587",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Office of Financial Management,Department expenses,,,"10,237","12,313",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Bureau of Statistics,,,,"423,705","388,804",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Prudential Regulation Authority,,,,"117,558","124,690",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Security and Investments Commission,Department expenses,,,"454,422","450,833",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Security and Investments Commission,Administration of unclaimed money,,,"70,606","55,433",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Australian Taxation Office,,,"3,273,323","3,368,725",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Tax Practitioners Board,,,"16,982","14,411",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Australian Business Register,,,"162,092","176,225",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Australian Valuation Office,,,"34,553","32,495",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
